"product_name","ingredient","classes","dose","price_krw","price_as_of","source_note"
"디어메디정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디파글루엠서방정10/1000밀리그램","Dapagliflozin + Metformin HCl","SGLT2_DA+MET","10mg/1g","512","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디파글루정10밀리그램","Dapagliflozin","SGLT2_DA","10mg","393","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디파글루정5밀리그램","Dapagliflozin","SGLT2_DA","5mg","262","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디포민정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디포테리엠서방정10/500밀리그램","Metformin HCl + Teneligliptin","MET+DPP4","0.5g/10mg","334","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디포테리엠서방정10/750밀리그램","Metformin HCl + Teneligliptin","MET+DPP4","0.75g/10mg","334","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디포테리엠서방정20/1000밀리그램","Metformin HCl + Teneligliptin","MET+DPP4","1g/20mg","665","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디포테리정20밀리그램","Teneligliptin","DPP4","20mg","665","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디플로정10밀리그램","Dapagliflozin","SGLT2_DA","10mg","334","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디피원정10밀리그램","Dapagliflozin","SGLT2_DA","10mg","334","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"디피투정10/100밀리그램","Dapagliflozin + Sitagliptin","SGLT2_DA+DPP4","10mg/0.1g","846","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"라니글듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"라니글듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"라니글듀오정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"라니글듀오정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"라니글듀오정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"랙스엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","197","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"랙스정2밀리그람","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"레파넘정0.5밀리그램","Repaglinide","MEG","0.5mg","105","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"레파넘정1밀리그램","Repaglinide","MEG","1mg","160","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"레파넘정2밀리그람","Repaglinide","MEG","2mg","227","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"로글리코엠정","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"로글리코정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나그린정5밀리그램","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나글로메트서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","327","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나글로메트서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나글로정","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나글정","Linagliptin","DPP4","5mg","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나다파지정","Dapagliflozin + Linagliptin","SGLT2_DA+DPP4","10mg/5mg","795","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디엠메트서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디엠메트서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디엠정5밀리그램","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디포듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디포듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디포듀오정2.5/1000mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","344","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디포듀오정2.5/500mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디포듀오정2.5/850mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나디포정5mg","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나로엠서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","367","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나로엠서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나로엠정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나로엠정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","285","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나로엠정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","285","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나로정","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나루틴듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나루틴듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나루틴듀오정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","344","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나루틴듀오정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나루틴듀오정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나루틴정5밀리그램","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나맥스서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나맥스서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나엔듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나엔듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나원듀오정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나원듀오정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나원듀오정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나원정5밀리그램","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나제틴듀오정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나제틴듀오정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나제틴듀오정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나제틴정","Linagliptin","DPP4","5mg","339","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나젠타듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나젠타듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나젠타듀오정2.5/1000mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나젠타듀오정2.5/500mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나젠타듀오정2.5/850mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나젠타정","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나칸메트서방정2.5/1000밀리그램,메트포르민염산염)","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나칸메트서방정5/1000밀리그램,메트포르민염산염)","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나칸엠파정10/5밀리그램","Empagliflozin + Linagliptin","SGLT2_EM+DPP4","10mg/5mg","750","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나칸엠파정25/5밀리그램","Empagliflozin + Linagliptin","SGLT2_EM+DPP4","25mg/5mg","855","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나콤비서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나콤비서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나탑듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나탑듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나탑듀오정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","344","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나탑듀오정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나탑듀오정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나탑정5밀리그램","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나티젠듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나티젠듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나티젠듀오정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나티젠듀오정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나티젠듀오정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나티젠정5밀리그램","Linagliptin","DPP4","5mg","340","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나틴정","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나틴플러스엑스알정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나틴플러스엑스알정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나틴플러스정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","344","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나틴플러스정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나틴플러스정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리나하나정","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리디포엠서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리디포엠서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리라젠타듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리라젠타듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리라젠타듀오정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","344","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리라젠타듀오정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리라젠타듀오정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리라젠타정5밀리그램","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리메드정2mg","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리메트폴정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리메포민정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리타메진서방정2.5/1000밀리그램,메트포르민염산염)","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리타메진서방정5/1000밀리그램,메트포르민염산염)","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리타메진정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","344","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리타메진정2.5/500밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리타메진정2.5/850밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","338","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리타진정","Linagliptin","DPP4","5mg","402","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리트라젠듀오정2.5/1000mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리트라젠듀오정2.5/500mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리트라젠듀오정2.5/850mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리트라젠정5mg","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리포민듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"리포민듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메가폴민서방정500밀리그램","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메가폴민정500밀리그램","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메가피오정15밀리그램","Pioglitazone","TZD","15mg","551","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메디롤엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메디롤정2mg","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메디롤정4mg","Glimepiride","SU","4mg","284","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메리클정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메비드정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메토르민정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메토포르서방정","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메토포르정500밀리그램","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메토폴정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트그린에스알정500밀리그람","Metformin HCl","MET","0.5g","118","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트글루서방정500밀리그램","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트레닌정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트로정500밀리그램","Metformin HCl","MET","0.5g","69","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트린정500mg","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트마릴정1/250밀리그램","Glimepiride + Metformin HCl","SU+MET","1mg/0.25g","132","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트마릴정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","197","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트민정500밀리그램","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트원서방정","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트파민정","Metformin HCl","MET","0.5g","66","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트포민서방정","Metformin HCl","MET","0.5g","89","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트폴엠정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메트폴정500mg","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메포딘정500밀리그램","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메포민플러스정","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메폴린정500mg","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메프릴엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메프릴정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메프민서방정500밀리그램","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메피그릴정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메피리드정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"메피릴정","Glimepiride","SU","2mg","152","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"멜포민서방정500mg","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"명문리나글립틴듀오서방정 5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
